OSEBuildingID,SiteEUI(kBtu/sf)_2015,SourceEUI(kBtu/sf)_2015,GHGEmissions(MetricTonsCO2e),Electricity(kBtu)_2015,NaturalGas(kBtu)_2015,SteamUse(kBtu)_2015,PropertyGFATotal_2015,YearBuilt_2015,NumberofFloors_2015,BuildingType_2015,PrimaryPropertyType_2015,ENERGYSTARScore_2015,SiteEUI(kBtu/sf)_2016,SourceEUI(kBtu/sf)_2016,Electricity(kBtu)_2016,NaturalGas(kBtu)_2016,SteamUse(kBtu)_2016,PropertyGFATotal_2016,YearBuilt_2016,NumberofFloors_2016,BuildingType_2016,PrimaryPropertyType_2016,ENERGYSTARScore_2016,Δ_SiteEUI,Δ_SiteEUI_pct,Δ_SourceEUI,Δ_SourceEUI_pct,Δ_Electricity,Δ_Electricity_pct,Δ_NaturalGas,Δ_NaturalGas_pct,Δ_ENERGYSTARScore,Δ_ENERGYSTARScore_pct,Trajectory_Class,Energy_Efficiency_2015,Electrification_Rate_2015,BuildingAge_2015,SizeCategory,Has_ENERGY_STAR,Age_Size_Interaction,EUI_ESTAR_Interaction,Electricity_per_sqft,NaturalGas_per_sqft,Target_2016_EUI,Target_Delta_EUI,Target_Worsened,Cluster,Annual_EUI_Change_Rate,Projected_EUI_2020,Projected_EUI_2025,Projected_EUI_2030,Projected_EUI_2040,Risk_Score,BEPS_Target_2030,BEPS_Target_2040,BEPS_Compliant_2030,BEPS_Compliant_2040
1,78.9,173.5,249.43,3686160.0,1272388.0,2023032.0,88434,1927,12.0,NonResidential,Hotel,65.0,81.69999695,182.5,3946027.0,1276453.0,2003882.0,88434,1927,12,NonResidential,Hotel,60.0,2.7999969499999935,3.5487920785804734,9.0,5.187319884726225,259867.0,7.049802504503331,4065.0,0.3194780208552737,-5.0,-7.6923076923076925,Stable,0.45475504322766575,0.7433950422583385,88,Large,1,1002.3220326124627,5128.5,41.6826107605672,14.387995567315738,81.69999695,2.7999969499999935,1,1.0,0.03548792078580473,93.92953854723399,111.8220305664932,133.12283562136122,188.6700354112814,3.5487920785804734,60,50,0,0
2,94.4,191.3,263.51,3905411.0,4448985.0,0.0,103566,1996,11.0,NonResidential,Hotel,51.0,94.80000305,176.1000061,3242851.0,5145082.0,0.0,103566,1996,11,NonResidential,Hotel,61.0,0.40000304999999514,0.4237320444915203,-15.19999390000001,-7.945631939362263,-662560.0,-16.96517984918873,696097.0,15.64619795301625,10.0,19.607843137254903,Stable,0.49346576058546787,0.46746778582197923,19,Very Large,1,219.41150647968604,4814.400000000001,37.70939304404921,42.957968831469785,94.80000305,0.40000304999999514,1,1.0,0.004237320444915203,96.41703663339503,98.47717111404063,100.58132430991064,104.92546912016826,0.4237320444915203,60,50,0,0
3,96.6,242.7,2061.48,49762435.0,3709900.0,19660404.0,961990,1969,41.0,NonResidential,Hotel,18.0,96.0,241.8999939,49526664.0,1493800.0,21566554.0,956110,1969,41,NonResidential,Hotel,43.0,-0.5999999999999943,-0.6211180124223544,-0.8000060999999903,-0.329627564894928,-235771.0,-0.47379313331431633,-2216100.0,-59.734763740262544,25.0,138.88888888888889,Stable,0.3980222496909765,0.930620198276361,46,Mega,1,633.7309772083573,1738.8,51.72864063035998,3.856484994646514,96.0,-0.5999999999999943,0,0.0,-0.006211180124223544,93.63703632616003,90.76495416093803,87.98096594109737,82.66654596975934,0.0,60,50,0,0
5,460.4,636.3,1936.34,2769023.0,2001894.0,23458518.0,61320,1926,10.0,NonResidential,Hotel,1.0,110.8000031,216.1999969,2768924.0,1811213.0,2214446.25,61320,1926,10,NonResidential,Hotel,56.0,-349.59999689999995,-75.9339697871416,-420.1000031,-66.02231700455759,-99.0,-0.0035752682444313393,-190681.0,-9.525029796782448,55.0,5500.0,Improving,0.7235580700927235,0.580396389205681,89,Large,1,981.1251100263761,460.4,45.15693085453359,32.64667318982387,110.8000031,-349.59999689999995,0,3.0,-0.7593396978714161,0.37167008148980224,0.0003000405071125896,2.422156379860508e-07,1.578507881232279e-13,0.0,60,50,0,0
8,120.1,228.8,507.7,6066245.0,8763105.0,0.0,119890,1980,18.0,NonResidential,Hotel,67.0,114.8000031,211.3999939,5368607.0,8803998.0,0.0,175580,1980,18,NonResidential,Hotel,75.0,-5.2999968999999965,-4.412986594504577,-17.400006100000013,-7.604897770979026,-697638.0,-11.500326808429268,40893.0,0.4666496635610323,8.0,11.940298507462686,Stable,0.5249125874125874,0.40907018851129684,35,Very Large,1,409.30183964761505,8046.7,50.59842355492535,73.09287680373676,114.8000031,-5.2999968999999965,0,1.0,-0.04412986594504577,95.83793981999627,76.4771915815256,61.027614357973164,38.86112035818632,0.0,60,50,0,0
9,135.7,313.5,304.62,7271004.0,4781283.0,0.0,97288,1999,2.0,Nonresidential COS,Other,,136.1000061,316.2999878,7371434.0,4715182.0,0.0,97288,1999,2,Nonresidential COS,Other,,0.400006100000013,0.2947723655121688,2.7999877999999967,0.8931380542264743,100430.0,1.3812397847670006,-66101.0,-1.3824950332368948,,,Stable,0.43285486443381177,0.6032883219591435,16,Large,0,183.7670593498877,0.0,74.73690485979772,49.145660307540496,136.1000061,0.400006100000013,1,2.0,0.002947723655121688,137.71185638251765,139.75354007604395,141.82549329329836,146.0620100277795,0.2947723655121688,60,50,0,0
10,76.9,149.5,208.46,2679698.0,3573255.0,0.0,83008,1926,11.0,NonResidential,Hotel,25.0,70.80000305,146.6000061,2811215.0,2947580.0,0.0,83008,1926,11,NonResidential,Hotel,27.0,-6.099996950000005,-7.932375747724323,-2.8999938999999983,-1.9397952508361194,131517.0,4.907903801099975,-625675.0,-17.50994541391532,2.0,8.0,Improving,0.5143812709030101,0.4285491990744213,89,Large,1,1008.0766840025294,1922.5000000000002,32.282406515034694,43.04711594063223,70.80000305,-6.099996950000005,0,1.0,-0.07932375747724323,50.86991626869898,33.65082420265859,22.260268004706784,9.740915023803039,0.0,60,50,0,0
11,62.5,152.2,199.99,4108004.0,315079.0,2003108.0,102761,1926,8.0,NonResidential,Other,,61.29999924,141.6999969,3636655.0,385189.0,2276286.5,102761,1926,8,NonResidential,Other,,-1.2000007600000018,-1.9200012160000028,-10.500003099999986,-6.898819382391581,-471349.0,-11.473917746915534,70110.0,22.251562306596124,,,Stable,0.4106438896189225,0.9287648456969946,89,Very Large,0,1027.0752113335777,0.0,39.97629450861708,3.0661340391782876,61.29999924,-1.2000007600000018,0,2.0,-0.01920001216000003,56.72601510779562,51.48545264015772,46.729033028756525,38.49384667075856,0.0,60,50,0,0
12,77.0,174.6,331.61,7355649.0,5278400.0,0.0,163984,1904,15.0,NonResidential,Hotel,46.0,83.69999695,180.8999939,7297919.0,6425900.0,0.0,163984,1904,15,NonResidential,Hotel,43.0,6.699996949999999,8.701294740259739,6.299993900000004,3.6082439289805293,-57730.0,-0.784838972060793,1147500.0,21.739542285541074,-3.0,-6.521739130434782,Declining,0.44100801832760594,0.5822083640802723,111,Very Large,1,1332.835856552162,3542.0,44.85589447751,32.18850619572641,83.69999695,6.699996949999999,1,1.0,0.0870129474025974,116.85957705378362,177.35273700245705,269.1605952654292,619.9528345913566,8.701294740259739,60,50,0,0
13,81.7,178.1,170.0,2370050.0,733803.0,1483476.0,63712,1910,6.0,Multifamily MR (5-9),Mid-Rise Multifamily,2.0,81.5,182.6999969,2532015.0,1002026.0,1039735.188,63712,1910,6,Multifamily MR (5-9),Mid-Rise Multifamily,1.0,-0.20000000000000284,-0.24479804161567056,4.599996900000008,2.582816900617635,161965.0,6.83382207126432,268223.0,36.552453451403174,-1.0,-50.0,Stable,0.45873104997192593,0.763583198044495,105,Large,1,1161.5251097489638,163.4,37.19942867905575,11.517500627825214,81.5,-0.20000000000000284,0,1.0,-0.0024479804161567057,80.70488399027869,79.7218886154754,78.75086624477184,76.84415896129624,0.0,60,50,0,0
